,top words,ID,Text
0,, , 
1,"['lol', 'exactly']",144,lol how exactly 
2,['quick'],239,that was quick 
3,"['play', 'os', 'runescape']",304,you play os runescape 
4,"['frustrating', 'baby', 'scanned', 'ultra', 'rare', 'frost', 'dragon', 'adopt', 'nothing', 'done', 'super', 'upsetting']",418,this is very frustrating my baby was scanned out of her ultra rare frost dragon in adopt me and nothing can be done about it super upsetting 
5,"['cheer', 'lol']",420,this does cheer me up lol
6,"['rogue', 'lineage', 'verdant', 'moon', 'arsenal', 'phantom', 'forces', 'guns', 'skill', 'fighting', 'game', 'anomic', 'electric', 'state', 'darkrp', 'could', 'keep', 'going', 'top', 'head']",778,rogue lineage verdant moon arsenal phantom forces guns = = skill fighting game anomic electric state darkrp i could keep going but this is all i can get off the top of my head
7,"['pay', 'win', 'lol']",793,it is pay to win lol
8,['slaves'],808,slaves 
9,"['pay', 'win', 'fuck']",841,they're pay to win as fuck
10,"['cope', 'seethe', 'shiver']",855,cope seethe and shiver
11,['understandable'],954,understandable
12,"['oh', 'ok', 'crazy', 'coincidence', 'lol']",1214,oh ok crazy coincidence lol
13,"['sound', 'like', 'boomer', 'agree']",1247,you sound like a boomer that i agree with
14,"['anyone', 'remember', 'roblox', 'battle', 'remastered', 'back', 'dead', 'servers', 'empty']",1309,anyone remember roblox battle they remastered it back in its dead now the servers are empty
15,"['quit', 'remember', 'going', 'refund']",1389,if she does quit remember **they are not going to refund you **
16,"['remember', 'strife', 'forever', 'alpha', 'bloxburg', 'forever', 'beta']",1431,remember strife forever alpha bloxburg forever beta 
17,"['missing', 'idea', 'bosses', 'already', 'implemented']",1458,i've been missing out i had no idea that bosses had already been implemented 
18,"['understandable', 'great', 'day']",1719,understandable have a great day 
19,"['found', 'phantom', 'forces', 'day', 'hell', 'roblox', 'better', 'shooter', 'cod', 'games']",1724,i just found out about phantom forces the other day and why the hell does roblox have a better shooter than most cod games
20,"['getting', 'major', 'club', 'penguin', 'vibes']",1758,getting major club penguin vibes from this
21,"['crashing', 'couch', 'week', 'technically', 'homeless', 'jean', 'ralphio']",1769, crashing on your couch for a week because *technically i'm homeless* jean ralphio
22,['relatable'],1781,relatable
23,"['literally', 'phantom', 'forces', 'server']",1794,this is literally any phantom forces server
24,"['constitution', 'disagrees']",1802,the constitution disagrees
25,"['imagine', 'money', 'sony', 'microsoft', 'leaving', 'table', 'charge', 'play', 'game', 'online', 'locking', 'multiplayer', 'behind', 'subscription', 'always', 'stupid', 'glad', 'see', 'finally', 'biting', 'ass', 'big', 'traditional', 'multiplayer', 'games', 'go', 'free', 'play', 'ps', 'fucked']",1879,now imagine all the money sony and microsoft are leaving on the table because they can't charge you to play this game online locking multiplayer behind a subscription has always been stupid and i'm glad to see it finally biting them in the ass if other big traditional multiplayer games go free to play ps+ is fucked 
26,"['cod', 'sucks', 'right']",1884,cod sucks right now too 
27,"['zero', 'build', 'ranked', 'aswell']",1895,is there zero build ranked aswell 
28,"['well', 'crazy', 'good', 'statistic']",1904,well that is a crazy good statistic 
29,"['play', 'fornite', 'onlyup', 'finished', 'chapter', 'chapter', 'jumping', 'pads', 'annoying']",1918,i only play fornite onlyup finished chapter & chapter with the jumping pads is very annoying 
30,"['cheating', 'situation', 'bad', 'cod', 'really', 'looking', 'game', 'play', 'small', 'number', 'cheaters', 'none', 'prolly', 'wishful', 'thinking']",1929,is the cheating situation as bad as cod i am really looking for a game to play that has a small number of cheaters to none prolly wishful thinking
31,"['month', 'since', 'played', 'cod', 'playing', 'friends', 'really', 'fun', 'issue', 'couple', 'use', 'actually', 'good', 'games', 'kd', 'wise', 'next', 'matches', 'felt', 'like', 'sweating', 'cod', 'champs', 'could', 'barely', 'go', 'positive', 'rage', 'quit', 'back', 'since', 'lol', 'sbmm', 'ruined', 'franchise']",1950,been about a month since i’ve played cod was playing with friends and it was really fun but the issue was a couple of use were actually having good games kd wise the next matches felt like we were sweating for cod champs and could barely go positive we all rage quit and haven’t been back on since lol sbmm ruined this franchise 
32,"['weird', 'despite', 'minecraft', 'good', 'fortnite', 'bad', 'memes', 'actually', 'think', 'fortnite', 'fun', 'embrace', 'absurdity', 'crossover', 'skins', 'experience']",1953,it’s weird that despite all the “minecraft good fortnite bad” memes i actually think fortnite is fun just embrace the absurdity of all its crossover skins and it’s an experience 
33,"['play', 'grandsons', 'liked', 'warzone', 'played', 'bit', 'liked', 'progressing', 'gun', 'current', 'fortnite', 'fun', 'modify', 'gun', 'ever', 'loadouts', 'think', 'boys', 'quit', 'cod', 'altogether', 'play', 'cool', 'skins', 'would', 'obsolete', 'year', 'game']",1957,i play with my grandsons they liked warzone and i played with them a bit i liked progressing my gun this current fortnite is fun because i can modify my gun now if they ever just have loadouts i think that’s when the boys will quit cod altogether and just play this i have some cool skins that would have been obsolete after a year on any other game 
34,"['cod', 'became', 'joke', 'game', 'mp', 'campaign', 'neglected', 'favour', 'warzone', 'crappy', 'cosmetics', 'mention', 'tie', 'games', 'together', 'mw', 'game', 'needed', 'gb', 'update', 'mw', 'ffs']",1961,cod became a joke of a game the mp and campaign is neglected in favour of warzone and crappy cosmetics not to mention they tie all their games together now my mw game needed a gb update because of mw ffs
35,"['surprised', 'considering', 'state', 'cod', 'warzone']",1975,not surprised considering the state of cod warzone
36,"['meanwhile', 'fortnite', 'haters', 'fortnite', 'community', 'dead', 'game']",1986,meanwhile fortnite haters and fortnite community dead game 💀
37,"['turning', 'cod', 'serious', 'fps', 'arcade', 'shooter', 'money', 'grabbing', 'carnival', 'fps', 'arcade', 'shooter']",1991,and turning cod from a serious fps arcade shooter into money grabbing carnival fps arcade shooter 
38,"['interesting', 'lol']",1998,interesting lol
39,"['fuck', 'epic']",1999,fuck epic
40,"['zero', 'build', 'awesome', 'makes', 'wish', 'fortnite', 'arena', 'style', 'mode', 'alongside', 'br']",2018,zero build is awesome makes me wish fortnite had an arena style mode alongside its br 
41,"['point', 'fortnite', 'without', 'build', 'become', 'mediocre', 'shooter', 'skill', 'expression', 'considering', 'aim', 'half', 'rng', 'due', 'bloom', 'building', 'outclassed', 'someone']",2022,what's the point of fortnite without build wouldn't it just become a mediocre shooter where's the skill expression considering aim is half rng due to bloom building was how you outclassed someone 
42,"['already', 'lol', 'ever', 'heard', 'unreal', 'engine']",2059,they already do lol ever heard of the unreal engine 
43,"['yeah', 'matches', 'battle', 'royale', 'go', 'play', 'rocket', 'racing', 'inside', 'fortnite', 'survival', 'mode', 'lego', 'fortnite', 'rock', 'ban', 'fortnite', 'festival']",2075,yeah after matches of battle royale you can go play rocket racing inside fortnite and the survival mode lego fortnite or rock ban fortnite festival too 
44,"['lot', 'cod', 'fans', 'migrating', 'fortnite', 'finally', 'something', 'competing', 'cod', 'tried', 'like', 'fortnite', 'wrong', 'ways', 'literally', 'adding', 'nicki', 'minaj', 'made', 'many', 'diehard', 'cod', 'fans', 'say', 'fuck', 'stop', 'playing', 'riding', 'dick', 'hard', 'fuck', 'years']",2084,and a lot of cod fans are migrating to fortnite because there’s finally something competing with it cod tried to be like fortnite in all the wrong ways literally just adding nicki minaj made so many diehard cod fans say fuck it and stop playing after riding it’s dick hard as fuck for years
45,"['remember', 'back', 'around', 'would', 'call', 'games', 'like', 'quake', 'unreal', 'arcade', 'shooters', 'differentiate', 'realistic', 'shooters', 'like', 'cod', 'counter', 'strike', 'saying', 'wrong', 'interesting', 'language', 'changed', 'industry', 'broadened', 'even', 'realistic', 'shooters', 'cod', 'mention', 'cod', 'liberal', 'realism', 'time', 'term', 'arena', 'shooter', 'coined', 'around', 'stuck']",2086,i remember back around we would call games like quake and unreal as arcade shooters to differentiate them from the realistic shooters like cod and counter strike not saying you're wrong but it's just interesting that the language has changed as the industry has broadened there are now even more realistic shooters than cod and not to mention cod itself has been more liberal with its realism at the same time the term arena shooter was coined around and stuck 👴
46,"['cod', 'always', 'money', 'grabbing', 'shooter']",2087,cod has always been a money grabbing shooter 
47,"['finally', 'got', 'onto', 'warzone', 'friends', 'urged', 'fucking', 'nightmare', 'circus', 'menus', 'micro', 'transactions', 'etc', 'awful', 'massacred', 'boy']",2088,finally got onto warzone because friends urged what a fucking nightmare circus of menus micro transactions etc it’s awful they massacred my boy 
48,"['people', 'really', 'care', 'enemy', 'player', 'wearing', 'clown', 'skin', 'cod', 'literally', 'change', 'anything', 'cod', 'multiplayer', 'never', 'immerisve', 'like', 'battlefield', 'respawn', 'second', 'rush', 'back', 'face', 'enemy', 'team', 'seconds', 'shootout', 'kind', 'gameplay', 'seeing', 'nicki', 'minage', 'running', 'assault', 'rifle', 'break', 'immersion', 'exist', 'cod', 'actually', 'falling', 'grace', 'highly', 'doubt', 'would', 'player', 'burn', 'something', 'stupid', 'skins']",2089,people don't really care that the enemy player is wearing clown skin in cod it literally doesn't change anything cod multiplayer was never immerisve like battlefield you respawn in second and rush back to face the enemy team to have a seconds shootout with that kind of gameplay seeing nicki minage running with an assault rifle won't break any immersion because it doesn't exist if cod was actually falling from grace highly doubt that it would be because of player burn out or something not the stupid skins 
49,"['cod', 'always', 'arcade', 'shooter']",2092,cod has always been an arcade shooter 
50,"['serious', 'cod', 'semi', 'serious', 'mw', 'waw', 'never', 'serious', 'two', 'entries']",2093,serious cod was semi serious with mw and waw but was never serious after those two entries
