PhraseID,EN
SV_agiH80KLEHczslo,
QID4_QuestionText,"Please select the option that best represents you"
QID4_Choice1,"I am a parent/guardian/older relative of a child that I have helped care for in some capacity and that child plays Roblox"
QID4_Choice2,"I am a parent/guardian/older relative of a child that I have helped care for in some capacity and that child plays Roblox"
QID4_Choice3,"I am a person"
QID118_QuestionText,"Exempt Information Sheet<br><br>&nbsp;Dr.Imani Munyaka, [add your name] are conducting this research and asking for your consent to participate. This section provides a summary of important information. The rest of the form provides additional details.<br><br>&nbsp;The purpose of this study is to gather feedback about Roblox from gamer parents. You will complete a survey and demographic questionnaire. Communicating with us (optional) and responding to our survey will take approximately 15 minutes. There may or may not be any direct benefit to you from participating in this study. You may think deeply about your identity. The investigator, however, may learn more about practitioner beliefs.<br><br>➘➘Your participation in this study is completely voluntary and you can withdraw at any time. Choosing not to participate or withdrawing will result in no penalty or loss of benefits to which you are entitled. You are free to skip any question that you choose.➘➘By participating in this research you are indicating that you are at least 18 years old, U.S .Resident, have read this consent form, and agree to participate in this research study.<br><br>&nbsp;Please keep this consent form for your records. <br><br>After reviewing this form, if you have any questions about the study please email one of the study personnel (designstudyresearchers@gmail.com) or Dr. Imani Munyaka directly (drmunyaka@eng.ucsd.edu).➘➘If you have other research-related problems, you may reach Dr. Imani Munyaka at drmunyaka@eng.ucsd.edu. If you have any questions concerning your rights as a research subject, you may contact the UC San Diego Office of IRB Administration at irb@ucsd.edu or 858-246-4777. You can download a copy of the form by clicking the link below or by emailing us at designstudyresearchers@gmail.com.<br><br>Copy of Consent {ADD THIS}<br>"
QID111_QuestionText,"Please select all of the statements you agree with."
QID111_Choice1,"Roblox is not a safe place for children under 18"
QID111_Choice2,"I think parents need to monitor their child's behavior on Roblox"
QID111_Choice3,"Roblox is for children and adults"
QID111_Choice4,"Roblox is a safe place for children under 18"
QID112_QuestionText,"Imagine a friend comes to you and has expressed being concerned about their child being <b>financially scammed</b> on Roblox. They have asked you to share a link to information that would be helpful in identifying a solution for this problem. What link would you provide?"
QID113_QuestionText,"Imagine a friend comes to you and has expressed being concerned about their child being <b>antisocial</b> due to their playtime on Roblox. They have asked you to share a link to information that would be helpful in identifying a solution for this problem. What link would you provide?"
QID114_QuestionText,"Imagine a friend comes to you and has expressed being concerned about their child being exposed to <b>inappropriate content</b> on Roblox. They have asked you to share a link to information that would be helpful in identifying a solution for this problem. What link would you provide?"
QID115_QuestionText,"Imagine a friend comes to you and has expressed being concerned about their child being <b>contacted by adults</b> on Roblox. They have asked you to share a link to information that would be helpful in identifying a solution for this problem. What link would you provide?"
QID116_QuestionText,"Please take a few minutes (no more than 5) to review Roblox.com. In your opinion, which issues does Roblox address on their website."
QID116_Choice1,"Click to write Choice 1"
QID116_Choice2,"Click to write Choice 2"
