,top words,ID,Text
0,, , 
1,"['good', 'illustration', 'industry', 'needs', 'regulated', 'unadulterated', 'capitalism', 'equals', 'businesses', 'ram', 'rodding', 'everyone']",98,good illustration of why industry needs to be regulated unadulterated capitalism equals businesses ram rodding everyone 
2,"['wait', 'mate', 'bees']",307,wait so you mate bees 
3,['hold'],436,hold up
4,"['true', 'idc']",500,its true idc
5,"['nessecarily', 'true']",505,not nessecarily true
6,"['mention', 'nfts']",572,not to mention nfts 
7,"['nfts', 'mean']",653,what does nfts mean 
8,"['except', 'bees']",696,except bees
9,"['power', 'bill', 'man', 'power', 'bill']",719,the power bill man the power bill
10,['poop'],744,r poop
11,"['non', 'fungible', 'tokens', 'nfts', 'cryptographic', 'assets', 'blockchain', 'unique', 'identification', 'codes', 'metadata', 'distinguish', 'unlike', 'cannot', 'traded', 'exchanged', 'equivalency', 'differs', 'fungible', 'tokens', 'like', 'identical', 'therefore', 'used', 'medium', 'commercial', 'transactions']",791,**non fungible tokens or nfts are cryptographic assets on blockchain with unique identification codes and metadata that distinguish them from each other unlike cryptocurrencies they cannot be traded or exchanged at equivalency this differs from fungible tokens like cryptocurrencies which are identical to each other and therefore can be used as a medium for commercial transactions **
12,['slaves'],808,slaves 
13,"['true', 'true']",833,true true 
14,['true'],850,true
15,['true'],869,that's true 
16,['mate'],967,same here mate
17,"['antivirus', 'detects', 'virus']",1057,when the antivirus detects itself as a virus
18,"['antivirus', 'enough', 'need', 'protegent', 'worlds', 'antivirus', 'deeta', 'recovery', 'software']",1059,“antivirus is not enough you need protegent worlds only antivirus with deeta recovery software”
19,['true'],1062,that is so true
20,"['antivirus', 'protegent']",1069,the antivirus was protegent
21,"['stern', 'moai', 'invariant', 'commands', 'opt', 'opt', 'delete']",1072,**very stern moai is ** * invariant * *** ^ commands 'opt out' 'opt in' 'delete' 
22,['definitely'],1157,definitely
23,['bruh'],1212,bruh
24,"['gonna', 'lie', 'murder', 'mistery', 'kat', 'sharkbite', 'epic', 'minigames', 'games', 'good', 'yeah', 'natural', 'disasters', 'survival', 'amazing']",1305,not gonna lie murder mistery kat sharkbite epic minigames and other games are good too but yeah natural disasters survival is amazing 
25,"['anyone', 'remember', 'roblox', 'battle', 'remastered', 'back', 'dead', 'servers', 'empty']",1309,anyone remember roblox battle they remastered it back in its dead now the servers are empty
26,"['nah', 'roblox', 'still', 'good', 'playing', 'minecraft', 'remember', 'one', 'deadly', 'sin', 'never', 'buy', 'minecraft', 'bedrock', 'edition', 'phones', 'stuff']",1344,nah roblox is still good but when playing minecraft remember the one deadly sin never buy minecraft bedrock edition phones and stuff 
27,"['inaccurate', 'forgot', 'devil', 'ice', 'powers', 'youtuber', 'disgraceful']",1380,this is so inaccurate you forgot the devil has ice powers youtuber disgraceful 
28,"['alex', 'rich', 'famous', 'lesbian', 'gay', 'queen', 'pro', 'says', 'bad', 'word', 'half', 'unicorn', 'half', 'demon', 'dont', 'touch', 'tail', 'gold', 'digger', 'cheater', 'russian', 'eats', 'tacos', 'evil', 'angle', 'bad', 'bullied', 'single', 'cuffed', 'youtuver', 'ice', 'powers']",1381,alex rich famous lesbian gay queen pro says bad word half unicorn half demon dont touch my tail gold digger cheater russian eats tacos evil angle bad bullied single cuffed youtuver ice powers 
29,"['john', 'rich', 'famous', 'asexual', 'says', 'bad', 'words', 'half', 'wolf', 'half', 'dolphin', 'creature', 'night', 'leader', 'pack', 'dont', 'touch', 'tail', 'gold', 'digger', 'likes', 'bones', 'kills', 'pigs', 'demon', 'bad', 'single', 'teen', 'youtuber', 'ice', 'powers', 'fire', 'powers', 'use', 'force', 'dodge', 'bullets', 'cant', 'killed', 'tattoos', 'wings', 'furry', 'dresses', 'cool', 'mansion', 'watches', 'jojo', 'plays']",1414,john rich famous asexual says bad words half wolf half dolphin creature of the night leader of the pack dont touch my tail gold digger likes bones kills pigs demon bad single teen youtuber has ice powers has fire powers can use the force can dodge bullets cant be killed has tattoos has wings furry dresses cool has a mansion watches jojo plays on b t
30,"['saved', 'via', 'chrome', 'check', 'chrome', 'browser', 'settings']",1636,if it’s saved via chrome you can check it through chrome browser settings
31,"['master', 'yoda', 'shall', 'bow']",1792,to you master yoda we shall bow
32,"['literally', 'phantom', 'forces', 'server']",1794,this is literally any phantom forces server
33,"['one', 'learn', 'powers']",1836,can one learn such powers 
34,"['bring', 'ketamine', 'inject', 'large', 'dose', 'ketamine', 'die', 'shall']",1862,bring some ketamine too you should inject a large dose of ketamine before we die we shall 
35,['minecraft'],1893,what about minecraft
36,"['yep', 'happy', 'waiting', 'black', 'ops', 'remastered', 'tyvm']",2146,yep i’m happy just waiting for black ops remastered tyvm
37,"['forget', 'dota', 'mod', 'warcraft', 'think']",2295,don't forget dota was a mod for warcraft i think 
38,"['mentally', 'challenged', 'mate']",2317,are you mentally challenged mate 
39,"['lmao', 'serious', 'like', 'troll', 'giggling', 'im', 'buddy', 'haha']",2319,lmao are you being serious like this isn’t a troll if this is how you are i will be giggling about “im buddy” for a while haha
40,"['wait', 'see', 'deadzone', 'eternal']",2391,wait until you see deadzone eternal 
41,"['forget', 'pedophiles']",2405,don't forget the pedophiles
42,"['mean', 'minecraft', 'royale', 'come', 'full', 'circle']",2563,you mean minecraft royale we've come full circle now
43,"['reminds', 'minecraft', 'easter', 'egg', 'borderlands']",2576,reminds me of the minecraft easter egg in borderlands 
44,['rtx'],2580,>rtx off
45,"['like', 'minecraft', 'royale', 'think', 'malfunctioning', 'gpu', 'since', 'trees', 'bushes', 'affected', 'probably', 'manual', 'tweaks']",2602,more like **minecraft royale** and i don't think that's a malfunctioning gpu since only the trees and some bushes are affected probably manual tweaks 
46,"['tbh', 'minecraft', 'battle', 'royale', 'anyone', 'else', 'uhc', 'hunger', 'games', 'mods']",2614,tbh minecraft did battle royale before anyone else did what with the uhc and hunger games mods 
47,"['excuse', 'circles', 'minecraft']",2615,excuse me there’s no circles in minecraft
48,"['destroyed', 'vram', 'gb', 'vram', 'usable']",2617,destroyed vram about gb of vram is usable 
49,"['servers', 'zoned', 'moved']",2642,some servers had zoned that moved in
50,"['believe', 'amount', 'cores', 'mhz', 'gb', 'dual', 'channel', 'ram', 'getting', 'similar', 'performance', 'man', 'keeps', 'getting', 'confused', 'hate', 'curse', 'lol']",2665,i have a k so i believe we have the same amount of cores and i have mhz gb dual channel ram so we should be getting similar performance man this keeps getting me more and more confused i hate this curse lol
51,['false'],2749,false 
52,"['would', 'make', 'good', 'condom', 'commercial']",2917,this would make a good condom commercial
53,['kill'],2953,kill him
54,"['roblox', 'minecraft', 'one', 'fun', 'minecraft', 'roblox']",3091,roblox or minecraft which one is more fun minecraft or roblox why 
55,"['committed', 'die']",3144,i committed die
56,['wholesome'],3177,wholesome
57,"['wholesome', 'spook']",3187,a wholesome spook
