,top words,ID,Text
0,, , 
1,['amen'],143,amen
2,"['good', 'luck', 'suing', 'multimillion', 'dollar', 'company', 'evidence', 'laws', 'broken', 'experience']",211,good luck suing the multimillion dollar company with no evidence no laws broken and no experience 
3,"['soo', 'dumb']",231,that is soo dumb
4,[],250, 
5,"['right', 'dying', 'laughing', 'hard', 'xd']",254,right i'm dying laughing so hard xd
6,[],291,no they aren’t all are the same
7,"['perspective', 'saying', 'wrong', 'saying', 'court', 'law', 'difficult', 'place', 'prove', 'things', 'world', 'law', 'good', 'guys', 'win', 'bad', 'guys', 'lose', 'rather', 'present', 'point', 'best', 'back', 'lawyer', 'testimonies', 'alone', 'enough', 'justify', 'large', 'matter', 'large', 'platform', 'end', 'day', 'court', 'decides', 'fate', 'court', 'evidence', 'citations', 'law', 'articles', 'proceed', 'wish', 'good', 'luck']",379,that's your perspective and while i am not saying that it is wrong i am saying that the court of law is a difficult place to prove such things the world is law isn't good guys win and bad guys lose but rather about who can present their point the best and who can back it up while not being a lawyer myself testimonies alone will not be enough to justify such a large matter against such a large platform at the end of the day the court decides your fate and the court is won over by evidence citations law articles e t c if you do proceed with this i wish you good luck 
8,['cry'],396,cry about it
9,[],419,
10,[],446,you do
11,['er'],464,“i’m a ’er”
12,[],496,what no it was a
13,"['thats', 'bit', 'dramatic']",498,thats a bit dramatic
14,[],526,how 
15,"['prob', 'bob']",527,no prob bob 
16,"['laughs', 'pet', 'sim', 'nfts']",554,**laughs in pet sim x nfts**
17,['ok'],614,ok
18,"['post', 'copypasta']",641,you should post this on r copypasta
19,['robloxmoment'],670,r robloxmoment
20,['yeah'],716,yeah 
21,['yes'],737,yes
22,['yes'],745,yes
23,['yeah'],746,yeah
24,['exactly'],755, exactly
25,[],758,k
26,['vagina'],761,r vagina
27,['okay'],772,okay 
28,[],792,what
29,[],796,no
30,"['thats', 'illegal']",802,but thats illegal
31,"['cash', 'grab']",813,its a cash grab
32,"['commenter', 'joking']",818,the commenter was joking
33,"['hows', 'different', 'sim']",825,hows that different to any other sim
34,[],843,why
35,"['cope', 'seethe', 'shiver']",855,cope seethe and shiver
36,[],856, 
37,[],866,not for me
38,"['oh', 'exploiter']",884,oh a exploiter 
39,['right'],899,right
40,['yep'],901,yep
41,"['please', 'tell', 'ur', 'joking']",934,please tell me ur joking
42,['hm'],937,hm 
43,[],953,y not
44,"['username', 'need', 'joke']",968,his username need to be a joke too 
45,"['oh', 'damn', 'forgot', 'sorry']",979,oh damn i forgot about that sorry
46,"['js', 'shut', 'fuck']",980,js shut the fuck up
47,"['ya', 'know', 'noticed', 'lol', 'guy', 'deserve', 'upvotes']",987,ya i just know noticed it lol that guy doesn't deserve upvotes
48,['yes'],993,yes
49,['xd'],995,xd
50,"['tjat', 'weird']",1017,tjat is just weird
51,"['moai', 'stern']",1053,moai is very stern
52,['yes'],1074,yes
53,[],1076,f
54,['lmao'],1080,lmao
55,[],1085, 
56,['yes'],1165,yes
57,['yeah'],1179,yeah i do
58,"['advertise', 'like', 'sci', 'fi', 'universes', 'like', 'halo', 'star', 'wars', 'theres', 'game', 'thats', 'pay', 'win', 'called', 'project', 'stardust', 'pretty', 'grindy', 'tho']",1285,not to advertise but if you like sci fi universes like halo and star wars theres a game thats not pay to win called project stardust it can get pretty grindy tho 
59,"['remember', 'whats', 'game', 'front', 'page', 'would', 'join', 'friend', 'gamepass', 'popup']",1303,remember when it was whats this game on the front page and you would join with a friend and not get a gamepass popup
60,"['babft', 'hotel', 'elephant']",1308,babft hotel elephant
61,"['like', 'sorry']",1399,its like am so no sorry
62,['kat'],1404,how about kat 
63,"['shadow', 'hedgehog', 'bitchass', 'motherfucker']",1407,#shadow the hedgehog is a bitchass motherfucker
64,[],1408,\# howmakesmallwords
65,['alright'],1437,alright then 
66,"['thats', 'called', 'dedication']",1449,thats called dedication
67,[],1519,how 😭
68,"['guy', 'come', 'ask', 'robux', 'donation', 'count']",1520,i had a guy come up to me and ask for robux my donation count was only 
69,['yes'],1538,yes
70,"['thats', 'exactly', 'guess', 'grew', 'learned', 'gift', 'cards', 'suprise']",1546,thats exactly what i did when guess what i grew up and learned what gift cards were what a suprise
71,"['goddamn', 'youre', 'mad', 'nothing']",1555,goddamn youre so mad for nothing
72,"['wrong', 'viewpoint', 'game', 'cancer', 'stop', 'supporting']",1561,because you did the same to me and you have the wrong viewpoint the game is a cancer stop supporting it 
73,"['free', 'rowbawks']",1583,no you can't get free rowbawks
74,[],1590,no there is not 
75,['joking'],1601,i was joking
76,[],1612,
77,[],1621,same here
78,"['written', 'different', 'programming', 'language']",1625,it’s written in a different programming language
79,"['exaggerated', 'swa', 'meh', 'joke', 'old']",1721,the exaggerated swa meh the joke's old now
80,['gocommitdie'],1722,r gocommitdie
81,['ludwig'],1727,ludwig 
82,"['jimmy', 'carr']",1735,it's jimmy carr 
83,"['thats', 'way', 'afford', 'swag']",1736,thats the only way to afford swag
84,['gocommitdie'],1739,r gocommitdie
85,['ludwig'],1741,ludwig 
86,[],1743,r usernamechecksout
87,[],1745,r usernamechecksout
88,[],1759,same
89,[],1760,haven’t we all
90,"['broken', 'federal', 'law', 'multiple', 'times', 'operated', 'hydraulic', 'dumpster', 'minor', 'opening', 'closing', 'involves', 'hydraulic', 'crusher', 'moving']",1761,i have broken federal law multiple times i operated a hydraulic dumpster as a minor just opening and closing it which involves the hydraulic crusher moving 
91,['gocommitdie'],1764,r gocommitdie
92,['gocommitdie'],1766,r gocommitdie
93,"['enjoy', 'meme', 'go', 'check', 'gocommitdie', 'dont', 'reposts']",1771,if you enjoy this meme go check out r gocommitdie or dont because it's all f****** reposts
94,['gocommitdie'],1775,r gocommitdie
95,['oh'],1778,oh no
96,"['disd', 'pay', 'taxes', 'thats', 'fgvery', 'ikkefak', 'tiy', 'boe']",1784,why disd he not pay his taxes thats fgvery ikkefak tiy boe
97,[],1786,***y o s h i***
98,"['tall', 'ludwig', 'smh']",1797,he’s too tall to be ludwig smh
99,[],1811,why
100,[],1824,so it's you again 
101,['yes'],1826,yes
102,"['fly', 'thailand', 'shall']",1844,fly to thailand i shall 
103,"['especially', 'people', 'recovery', 'laughter', 'best', 'medicine', 'able', 'laugh', 'helped', 'overcome', 'downer']",1846,it is especially to people in recovery laughter is the best medicine after all being able to laugh at myself helped me overcome so don't be such a downer 
104,['noob'],1850,not from a noob
105,"['downer', 'like', 'taking', 'friend', 'addicted', 'ketamine', 'binges', 'mgs', 'one', 'night', 'laugh', 'ass', 'brain', 'withering', 'away', 'funny', 'watch', 'turn', 'human', 'robot']",1852,i’m not being a downer i just like taking them my friend is addicted to ketamine and when he binges mgs in one night all i can do is laugh my ass off because his brain is withering away very funny to watch him turn into a human robot
106,['yes'],1857,yes
107,"['lego', 'fortnite']",1891,because of lego fortnite
108,"['holy', 'shit']",1923,holy shit 
109,"['thats', 'free', 'play']",1926,thats because its free to play
110,['dont'],2079,no they dont
111,['huh'],2195,huh 
112,[],2241, 
113,[],2276,[this is you ] 
114,"['dunk', 'lmao', 'good', 'joke', 'yo']",2279,dunk on me lmao good joke yo
115,"['year', 'olds', 'still', 'kids', 'lmao']",2310, year olds are still kids lmao
116,['wow'],2383,wow
117,"['whats', 'gamemode']",2394,whats the gamemode
118,"['valid', 'response', 'meme', 'game']",2413,this is the only valid response to this meme of a game
119,"['thoughts', 'exactly']",2425,my thoughts exactly
120,['like'],2573,i like it 
121,"['juste', 'hahaha']",2583,same for me juste now hahaha 
122,['lmao'],2585,lmao
123,['like'],2586,i like this 
124,"['fps', 'gif']",2599,does it get fps or is that just the gif
125,"['upvote', 'comment', 'curiosity', 'also']",2626,upvote and comment for curiosity also 
126,[],2633,it does 
127,"['stale', 'joke']",2635,stale joke
128,['except'],2640,except it didn't 
129,"['hold', 'microwaving', 'gpu', 'whats']",2663,hold up microwaving the gpu whats that
130,['yes'],2847,yes
131,"['highly', 'doubt']",2851,highly doubt it was but you do you 
132,"['cashstar', 'roblox']",2861,it was cashstar + roblox
133,"['roblox', 'cancer']",2907,is it roblox is cancer 
134,['ok'],2925,ok
135,[],2968,this 
136,"['account', 'prolly', 'decked']",2986,his account is prolly decked out
137,"['seem', 'like', 'nice', 'guy']",3025,you seem like a nice guy
138,"['hey', 'think', 'guy', 'might', 'crab']",3028,hey i think this guy might just be a crab
139,"['sneaky', 'fucker']",3034,sneaky fucker
140,"['ruin', 'kids', 'holiday', 'wtf']",3045,how does it ruin your kids holiday wtf 
